2016-01-09 09:37:44 configure mariadb-client-core-10.0:amd64 10.0.22-0ubuntu0.15.04.1 <none>
2016-01-09 09:37:44 status unpacked mariadb-client-core-10.0:amd64 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:44 status half-configured mariadb-client-core-10.0:amd64 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:44 status installed mariadb-client-core-10.0:amd64 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:44 configure mariadb-client-10.0:amd64 10.0.22-0ubuntu0.15.04.1 <none>
2016-01-09 09:37:44 status unpacked mariadb-client-10.0:amd64 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:44 status half-configured mariadb-client-10.0:amd64 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:44 status installed mariadb-client-10.0:amd64 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:44 configure mariadb-server-core-10.0:amd64 10.0.22-0ubuntu0.15.04.1 <none>
2016-01-09 09:37:44 status unpacked mariadb-server-core-10.0:amd64 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:44 status half-configured mariadb-server-core-10.0:amd64 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:44 status installed mariadb-server-core-10.0:amd64 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:44 configure mariadb-server-10.0:amd64 10.0.22-0ubuntu0.15.04.1 <none>
2016-01-09 09:37:44 status unpacked mariadb-server-10.0:amd64 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:44 status unpacked mariadb-server-10.0:amd64 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:44 status triggers-pending systemd:amd64 219-7ubuntu6
2016-01-09 09:37:44 status triggers-pending ureadahead:amd64 0.100.0-19
2016-01-09 09:37:44 status unpacked mariadb-server-10.0:amd64 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:44 status unpacked mariadb-server-10.0:amd64 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:44 status unpacked mariadb-server-10.0:amd64 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:44 status unpacked mariadb-server-10.0:amd64 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:44 status unpacked mariadb-server-10.0:amd64 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:44 status unpacked mariadb-server-10.0:amd64 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:44 status half-configured mariadb-server-10.0:amd64 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:59 status installed mariadb-server-10.0:amd64 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:59 configure libdbd-mysql-perl:amd64 4.028-2 <none>
2016-01-09 09:37:59 status unpacked libdbd-mysql-perl:amd64 4.028-2
2016-01-09 09:37:59 status half-configured libdbd-mysql-perl:amd64 4.028-2
2016-01-09 09:37:59 status installed libdbd-mysql-perl:amd64 4.028-2
2016-01-09 09:37:59 configure libhtml-template-perl:all 2.95-1 <none>
2016-01-09 09:37:59 status unpacked libhtml-template-perl:all 2.95-1
2016-01-09 09:37:59 status half-configured libhtml-template-perl:all 2.95-1
2016-01-09 09:37:59 status installed libhtml-template-perl:all 2.95-1
2016-01-09 09:37:59 configure mariadb-server:all 10.0.22-0ubuntu0.15.04.1 <none>
2016-01-09 09:37:59 status unpacked mariadb-server:all 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:59 status half-configured mariadb-server:all 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:59 status installed mariadb-server:all 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:59 trigproc libc-bin:amd64 2.21-0ubuntu4 <none>
2016-01-09 09:37:59 status half-configured libc-bin:amd64 2.21-0ubuntu4
2016-01-09 09:37:59 status installed libc-bin:amd64 2.21-0ubuntu4
2016-01-09 09:37:59 trigproc systemd:amd64 219-7ubuntu6 <none>
2016-01-09 09:37:59 status half-configured systemd:amd64 219-7ubuntu6
2016-01-09 09:37:59 status installed systemd:amd64 219-7ubuntu6
2016-01-09 09:37:59 trigproc ureadahead:amd64 0.100.0-19 <none>
2016-01-09 09:37:59 status half-configured ureadahead:amd64 0.100.0-19
2016-01-09 09:37:59 status installed ureadahead:amd64 0.100.0-19
2016-01-09 09:37:59 startup packages configure
2016-01-09 09:38:03 startup archives unpack
2016-01-09 09:38:03 install php5-common:amd64 <none> 5.6.4+dfsg-4ubuntu6.4
2016-01-09 09:38:03 status half-installed php5-common:amd64 5.6.4+dfsg-4ubuntu6.4
2016-01-09 09:38:03 status unpacked php5-common:amd64 5.6.4+dfsg-4ubuntu6.4
2016-01-09 09:38:03 status unpacked php5-common:amd64 5.6.4+dfsg-4ubuntu6.4
2016-01-09 09:38:03 install php5-json:amd64 <none> 1.3.6-1build1
2016-01-09 09:38:03 status half-installed php5-json:amd64 1.3.6-1build1
2016-01-09 09:38:03 status unpacked php5-json:amd64 1.3.6-1build1
2016-01-09 09:38:03 status unpacked php5-json:amd64 1.3.6-1build1
2016-01-09 09:38:03 install php5-cli:amd64 <none> 5.6.4+dfsg-4ubuntu6.4
2016-01-09 09:38:03 status half-installed php5-cli:amd64 5.6.4+dfsg-4ubuntu6.4
2016-01-09 09:38:03 status triggers-pending man-db:amd64 2.7.0.2-5
2016-01-09 09:38:04 status unpacked php5-cli:amd64 5.6.4+dfsg-4ubuntu6.4
2016-01-09 09:38:04 status unpacked php5-cli:amd64 5.6.4+dfsg-4ubuntu6.4
2016-01-09 09:38:04 install php5-fpm:amd64 <none> 5.6.4+dfsg-4ubuntu6.4
2016-01-09 09:38:04 status half-installed php5-fpm:amd64 5.6.4+dfsg-4ubuntu6.4
2016-01-09 09:38:04 status triggers-pending systemd:amd64 219-7ubuntu6
2016-01-09 09:38:04 status triggers-pending ureadahead:amd64 0.100.0-19
2016-01-09 09:38:04 status triggers-pending ureadahead:amd64 0.100.0-19
2016-01-09 09:38:04 status unpacked php5-fpm:amd64 5.6.4+dfsg-4ubuntu6.4
2016-01-09 09:38:04 status unpacked php5-fpm:amd64 5.6.4+dfsg-4ubuntu6.4
2016-01-09 09:38:04 install php5:all <none> 5.6.4+dfsg-4ubuntu6.4
2016-01-09 09:38:04 status half-installed php5:all 5.6.4+dfsg-4ubuntu6.4
2016-01-09 09:38:04 status unpacked php5:all 5.6.4+dfsg-4ubuntu6.4
2016-01-09 09:38:04 status unpacked php5:all 5.6.4+dfsg-4ubuntu6.4
2016-01-09 09:38:04 install php5-mysql:amd64 <none> 5.6.4+dfsg-4ubuntu6.4
2016-01-09 09:38:04 status half-installed php5-mysql:amd64 5.6.4+dfsg-4ubuntu6.4
